Category,Subtopic_Label,Count
business,Company News,114
business,Economy,62
business,Corporate Disputes,35
business,Mergers,29
business,Regulation,29
business,Stock Market,23
business,Banking,19
business,Corporate Mergers,18
business,Employment,18
business,Retail Sales,14
business,Aerospace Industry,13
business,Currency Markets,12
business,Economic Impact,12
business,Economic Trends,12
business,Housing Market,10
business,Energy,9
business,Airline Industry,8
business,Oil Prices,8
business,Economic Outlook,7
business,Football,7
business,Budget Deficits,6
business,Interest Rates,6
business,Trade Disputes,6
business,Tobacco Industry,5
business,Trade Deficits,5
business,Trade Relations,3
business,Automotive Industry,1
business,Corruption Scandal,1
business,Customer Service,1
business,Financial Education,1
business,Global Issues,1
business,Infrastructure Development,1
business,Insurance Industry,1
business,Pension Reform,1
business,Pensions,1
business,Technology,1
business,Trade,1
business,Trade Talks,1
business,Transportation Issues,1
