Category,Subtopic_Label,Count
tech,Consumer Tech,107
tech,Telecom,58
tech,Cybersecurity,45
tech,Internet Policy,42
tech,Regulation,12
tech,Software,11
tech,Social Media,9
tech,Hardware,7
tech,Data Privacy,6
tech,Gadgets,4
tech,Semiconductors,4
tech,AI,3
tech,Cloud,3
tech,Gaming Industry,3
tech,Startups,3
tech,Educational Technology,2
tech,Internet Services,2
tech,Online Gaming,2
tech,Telecom Regulation,2
tech,Creative Technology,1
tech,Digital Libraries,1
tech,Education Technology,1
tech,Election Technology,1
tech,Gaming Awards,1
tech,Gaming Tournaments,1
tech,Innovation Trends,1
tech,Internet Access,1
tech,Internet Browsers,1
tech,Internet Design,1
tech,Internet History,1
tech,Internet Impact,1
tech,Internet Radio,1
tech,Internet Usage,1
tech,Internet for Good,1
tech,Mapping Technology,1
tech,Media Growth,1
tech,Research and Development,1
tech,Robotics,1
tech,Software Patents,1
tech,Supercomputing,1
tech,Virtual Economy,1
